full_name,email,phone_no,alternate_phone_no,address,city
Candiate 1,c1@gmail.com,2345488,508205,45A,kolkata
Candiate 2,c2@gmail.com,450956,24843,65B,punjab
Candiate 3,c3@gmail.com,4507956,2454843,65B,uk
Candiate 4,c4@gmail.com,2345488,508205,45A,usa
Candiate 5,c5@gmail.com,450956,24843,65B,delhi
Candiate 6,c6@gmail.com,4507956,2454843,65B,NCR
Candiate 7,c7@gmail.com,4507956,2454843,65B,NCR
Candiate 8,c8@gmail.com,4507956,2454843,65B,NCR
Candiate 9,c9@gmail.com,4507956,2454843,65B,NCR
Candiate 10,c10@gmail.com,4507956,2454843,65B,NCR
